Precinct	total_votes	votes|No Candidate
48045	0	0
48046	0	0
49001	0	0
49002	0	0
49003	0	0
49004	0	0
49005	0	0
49006	0	0
49007	0	0
49008	0	0
49009	0	0
49010	0	0
49011	0	0
49012	0	0
49013	0	0
49014	0	0
49015	0	0
49016	0	0
49017	0	0
49018	0	0
49019	0	0
49020	0	0
49021	0	0
49022	0	0
49023	0	0
49024	0	0
49025	0	0
49026	0	0
49027	0	0
49028	0	0
49029	0	0
49030	0	0
49031	0	0
49032	0	0
49033	0	0
50001	0	0
50002	0	0
50003	0	0
50004	0	0
50005	0	0
50006	0	0
50007	0	0
50008	0	0
50009	0	0
50010	0	0
50011	0	0
50012	0	0
50013	0	0
50014	0	0
50015	0	0
50016	0	0
50017	0	0
50018	0	0
50019	0	0
50020	0	0
50021	0	0
50022	0	0
50023	0	0
50024	0	0
50025	0	0
50026	0	0
50027	0	0
50028	0	0
50029	0	0
50030	0	0
50031	0	0
50032	0	0
50033	0	0
50034	0	0
50035	0	0
50036	0	0
50037	0	0
50038	0	0
50039	0	0
50040	0	0
