Precinct	total_votes	votes|Christopher E.K. Pfannkuche	votes|Kim Foxx
38034	456	121	335
38035	480	151	329
38036	435	148	287
38037	477	155	322
38038	420	182	238
38039	520	176	344
38040	470	198	272
38041	457	129	328
39001	483	220	263
39002	386	140	246
39003	526	150	376
39004	470	230	240
39005	513	165	348
39006	497	128	369
39007	421	97	324
39008	546	126	420
39009	502	149	353
39010	244	41	203
39011	458	134	324
39012	662	132	530
39013	445	128	317
39014	476	162	314
39015	566	280	286
39016	456	77	379
39017	509	161	348
39018	474	117	357
39019	475	154	321
39020	591	287	304
39021	480	241	239
39022	461	113	348
39023	503	255	248
39024	605	317	288
39025	439	83	356
39026	485	225	260
39027	88	38	50
39028	576	123	453
39029	273	28	245
39030	624	115	509
39031	460	115	345
39032	428	161	267
39033	604	159	445
39034	552	144	408
39035	483	122	361
39036	154	38	116
39037	491	224	267
39038	279	109	170
39039	315	125	190
39040	449	173	276
39041	551	241	310
39042	522	267	255
39043	523	257	266
39044	395	204	191
39045	464	229	235
40001	514	125	389
40002	518	104	414
40003	680	107	573
40004	311	65	246
40005	558	101	457
40006	652	95	557
40007	551	104	447
40008	692	91	601
40009	467	69	398
40010	590	116	474
40011	568	103	465
40012	447	86	361
40013	837	92	745
40014	485	124	361
40015	500	125	375
40016	701	105	596
40017	478	124	354
40018	490	64	426
40019	670	162	508
40020	556	104	452
40021	637	121	516
40022	551	86	465
40023	629	92	537
40024	506	131	375
40025	671	83	588
40026	566	82	484
40027	734	111	623
40028	624	70	554
40029	530	157	373
40030	467	160	307
40031	630	95	535
40032	612	104	508
40033	551	71	480
40034	480	124	356
40035	411	90	321
40036	513	95	418
40037	577	95	482
40038	683	122	561
40039	192	25	167
41001	483	305	178
41002	542	356	186
41003	457	209	248
41004	511	293	218
41005	591	334	257
41006	580	317	263
41007	579	345	234
41008	513	313	200
41009	534	263	271
41010	546	337	209
41011	577	337	240
41012	526	264	262
41013	611	362	249
41014	589	322	267
41015	654	373	281
41016	512	279	233
41017	521	280	241
41018	478	276	202
41019	584	323	261
41020	415	212	203
41021	494	241	253
41022	550	325	225
41023	558	359	199
41024	484	295	189
41025	499	184	315
41026	493	264	229
41027	478	243	235
41028	593	224	369
41029	453	187	266
41030	512	270	242
41031	532	248	284
41032	436	223	213
41033	497	272	225
41034	446	261	185
41035	591	348	243
41036	517	286	231
41037	568	292	276
41038	481	238	243
41039	559	325	234
41040	576	385	191
41041	532	308	224
41042	531	318	213
41043	551	309	242
41044	559	404	155
41045	492	251	241
41046	529	299	230
41047	527	276	251
42001	586	220	366
42002	724	245	479
42003	698	204	494
42004	1163	407	756
42005	528	185	343
42006	624	222	402
42007	755	306	449
42008	583	172	411
42009	732	218	514
42010	820	270	550
42011	448	206	242
42012	538	206	332
42013	530	215	315
42014	803	342	461
42015	573	253	320
42016	661	237	424
42017	916	370	546
42018	818	301	517
42019	808	313	495
42020	692	269	423
42021	665	218	447
42022	365	155	210
42023	697	318	379
42024	632	247	385
42025	720	291	429
42026	770	276	494
42027	461	163	298
42028	737	254	483
42029	703	274	429
42030	534	237	297
42031	834	329	505
42032	705	310	395
42033	730	191	539
42034	582	271	311
42035	881	254	627
42036	1064	379	685
42037	497	202	295
42038	622	236	386
42039	753	281	472
42040	896	313	583
42041	676	211	465
42042	1031	316	715
43001	344	99	245
43002	641	233	408
43003	625	235	390
43004	847	332	515
43005	574	217	357
43006	488	178	310
43007	412	135	277
43008	507	161	346
43009	659	229	430
43010	737	290	447
43011	606	251	355
43012	447	147	300
43013	616	178	438
43014	614	242	372
43015	692	253	439
43016	746	265	481
43017	540	215	325
43018	711	283	428
43019	683	243	440
43020	679	229	450
43021	668	235	433
43022	456	147	309
43023	467	139	328
43024	521	187	334
43025	497	147	350
43026	410	119	291
43027	610	214	396
43028	792	266	526
43029	646	215	431
43030	790	234	556
43031	615	190	425
43032	705	207	498
43033	647	260	387
43034	446	153	293
43035	708	293	415
43036	375	126	249
43037	740	185	555
43038	544	232	312
43039	687	222	465
43040	482	147	335
43041	829	250	579
43042	602	160	442
43043	675	290	385
43044	612	216	396
43045	385	125	260
43046	372	128	244
44001	1051	236	815
44002	644	186	458
44003	416	108	308
44004	605	141	464
44005	720	151	569
44006	832	182	650
44007	481	176	305
44008	869	213	656
44009	625	198	427
44010	670	215	455
44011	720	223	497
44012	719	166	553
44013	575	213	362
44014	616	157	459
44015	621	148	473
44016	733	231	502
44017	852	179	673
44018	680	199	481
44019	791	184	607
44020	691	152	539
44021	785	161	624
44022	691	183	508
44023	685	152	533
44024	498	121	377
44025	667	214	453
44026	755	161	594
44027	728	200	528
44028	694	140	554
44029	763	218	545
44030	753	213	540
44031	610	172	438
44032	775	237	538
44033	673	110	563
44034	703	149	554
44035	766	202	564
44036	698	177	521
44037	719	146	573
44038	678	206	472
44039	668	227	441
44040	662	238	424
44041	846	186	660
45001	420	77	343
45002	436	74	362
45003	458	113	345
45004	611	165	446
45005	491	126	365
45006	616	166	450
45007	709	217	492
45008	506	128	378
45009	519	150	369
45010	538	165	373
45011	394	86	308
45012	480	144	336
45013	430	129	301
45014	640	177	463
45015	611	171	440
45016	422	139	283
45017	550	208	342
45018	532	194	338
45019	286	91	195
45020	374	130	244
45021	447	182	265
45022	468	176	292
45023	477	204	273
45024	382	175	207
45025	317	145	172
45026	285	143	142
45027	474	212	262
45028	421	160	261
45029	330	128	202
45030	482	137	345
45031	391	131	260
45032	425	147	278
45033	330	99	231
45034	520	161	359
45035	503	199	304
45036	497	204	293
45037	467	185	282
45038	430	159	271
45039	485	192	293
45040	482	196	286
45041	460	213	247
45042	477	227	250
45043	510	263	247
45044	483	228	255
45045	340	176	164
45046	393	198	195
45047	370	189	181
45048	416	224	192
46001	462	88	374
46002	542	69	473
46003	729	160	569
46004	567	79	488
46005	768	186	582
46006	571	47	524
46007	655	157	498
46008	456	55	401
46009	653	110	543
46010	1013	188	825
46011	620	150	470
46012	661	75	586
46013	630	120	510
46014	682	72	610
46015	653	144	509
46016	675	95	580
46017	673	146	527
46018	683	154	529
46019	419	103	316
46020	520	65	455
46021	438	85	353
46022	473	69	404
46023	467	62	405
46024	663	142	521
46025	594	90	504
46026	625	73	552
46027	762	135	627
46028	604	125	479
46029	545	105	440
46030	649	80	569
46031	658	98	560
46032	596	75	521
46033	703	152	551
46034	719	112	607
46035	743	104	639
46036	588	146	442
46037	412	42	370
46038	679	106	573
46039	599	137	462
46040	520	88	432
47001	399	106	293
47002	617	177	440
47003	588	158	430
47004	643	194	449
47005	670	109	561
47006	701	189	512
47007	571	138	433
47008	623	159	464
47009	564	157	407
47010	782	112	670
47011	641	170	471
47012	663	133	530
47013	562	88	474
47014	560	130	430
47015	747	77	670
47016	588	143	445
47017	591	164	427
47018	642	152	490
47019	782	89	693
47020	584	125	459
47021	571	108	463
47022	683	135	548
47023	656	66	590
47024	647	143	504
47025	728	167	561
47026	833	137	696
47027	564	148	416
47028	576	122	454
47029	653	174	479
47030	763	119	644
47031	604	103	501
47032	729	107	622
47033	624	169	455
47034	648	136	512
47035	621	162	459
47036	712	128	584
47037	674	145	529
47038	634	119	515
47039	617	130	487
47040	602	113	489
47041	714	134	580
47042	612	86	526
47043	610	178	432
47044	615	156	459
47045	588	119	469
47046	554	167	387
47047	754	188	566
47048	58	11	47
48001	539	60	479
48002	280	57	223
48003	728	90	638
48004	571	64	507
48005	316	56	260
48006	738	109	629
48007	594	76	518
48008	321	82	239
48009	410	104	306
48010	798	102	696
48011	469	68	401
48012	683	80	603
48013	733	140	593
48014	324	79	245
48015	417	69	348
48016	613	67	546
48017	542	78	464
48018	413	58	355
48019	392	54	338
48020	656	95	561
48021	761	100	661
48022	489	117	372
48023	655	145	510
48024	711	185	526
48025	522	73	449
48026	331	68	263
48027	1126	200	926
48028	729	168	561
48029	271	58	213
48030	514	62	452
48031	873	100	773
48032	654	68	586
48033	327	70	257
48034	525	74	451
48035	369	65	304
48036	345	70	275
48037	626	87	539
48038	583	118	465
48039	479	106	373
48040	512	84	428
48041	757	86	671
48042	699	65	634
48043	604	94	510
48044	706	88	618
48045	452	66	386
48046	383	68	315
49001	446	25	421
49002	399	52	347
49003	660	69	591
49004	740	68	672
49005	589	58	531
49006	576	62	514
49007	660	127	533
49008	510	76	434
49009	635	89	546
49010	588	79	509
49011	717	83	634
49012	870	118	752
49013	722	98	624
49014	506	86	420
49015	494	65	429
49016	554	90	464
49017	404	105	299
49018	771	67	704
49019	580	45	535
49020	889	96	793
49021	386	54	332
49022	621	76	545
49023	729	67	662
49024	546	47	499
49025	822	87	735
49026	698	120	578
49027	764	87	677
49028	800	83	717
49029	710	90	620
49030	688	96	592
49031	500	70	430
49032	651	54	597
49033	533	52	481
50001	444	199	245
50002	304	127	177
50003	393	162	231
50004	499	127	372
50005	322	158	164
50006	521	127	394
50007	545	116	429
50008	510	64	446
50009	388	94	294
50010	490	165	325
50011	314	197	117
50012	211	70	141
50013	590	82	508
50014	156	76	80
50015	511	127	384
50016	150	65	85
50017	450	116	334
50018	92	36	56
50019	341	68	273
50020	510	124	386
50021	420	114	306
50022	420	167	253
50023	315	92	223
50024	372	206	166
50025	411	201	210
50026	562	120	442
50027	147	60	87
50028	513	72	441
50029	526	58	468
50030	354	50	304
50031	587	81	506
50032	598	78	520
50033	369	196	173
50034	597	180	417
50035	593	101	492
50036	424	114	310
50037	477	107	370
50038	191	66	125
50039	349	116	233
50040	453	286	167
Barrington 1	664	419	245
Barrington 2	644	320	324
Barrington 3	806	590	216
Barrington 4	1026	693	333
Barrington 5	749	572	177
Barrington 6	854	496	358
Barrington 7	256	184	72
Barrington 8	1086	712	374
Barrington 9	526	327	199
Barrington 10	968	498	470
Barrington 11	571	383	188
Berwyn Ward 1 Precinct 1	425	124	301
Berwyn Ward 1 Precinct 2	522	137	385
Berwyn Ward 1 Precinct 3	734	219	515
Berwyn Ward 1 Precinct 4	432	136	296
Berwyn Ward 1 Precinct 5	432	130	302
Berwyn Ward 2 Precinct 1	325	99	226
Berwyn Ward 2 Precinct 2	548	142	406
Berwyn Ward 2 Precinct 3	689	206	483
Berwyn Ward 2 Precinct 4	938	260	678
Berwyn Ward 3 Precinct 1	572	163	409
Berwyn Ward 3 Precinct 2	403	130	273
Berwyn Ward 3 Precinct 3	447	144	303
Berwyn Ward 3 Precinct 4	586	163	423
Berwyn Ward 3 Precinct 5	709	219	490
Berwyn Ward 4 Precinct 1	383	95	288
Berwyn Ward 4 Precinct 2	612	166	446
Berwyn Ward 4 Precinct 3	751	177	574
Berwyn Ward 4 Precinct 4	396	99	297
Berwyn Ward 5 Precinct 1	887	162	725
Berwyn Ward 5 Precinct 2	533	100	433
Berwyn Ward 5 Precinct 3	458	72	386
Berwyn Ward 6 Precinct 1	305	71	234
Berwyn Ward 6 Precinct 2	406	75	331
Berwyn Ward 6 Precinct 3	553	99	454
Berwyn Ward 6 Precinct 4	644	121	523
Berwyn Ward 7 Precinct 1	519	94	425
Berwyn Ward 7 Precinct 2	492	100	392
Berwyn Ward 7 Precinct 3	647	150	497
Berwyn Ward 7 Precinct 4	668	131	537
Berwyn Ward 8 Precinct 1	899	197	702
Berwyn Ward 8 Precinct 2	566	134	432
Berwyn Ward 8 Precinct 3	340	55	285
Bloom 1	686	246	440
Bloom 2	679	227	452
Bloom 3	510	89	421
Bloom 4	604	74	530
Bloom 5	430	188	242
Bloom 6	342	12	330
Bloom 7	665	232	433
Bloom 8	611	262	349
Bloom 9	597	253	344
Bloom 10	310	5	305
Bloom 11	417	180	237
Bloom 12	660	125	535
Bloom 13	955	160	795
Bloom 14	819	286	533
Bloom 15	521	168	353
Bloom 16	608	131	477
Bloom 17	496	51	445
Bloom 18	529	193	336
Bloom 19	591	130	461
Bloom 20	590	227	363
Bloom 21	198	9	189
Bloom 22	532	114	418
Bloom 23	668	55	613
Bloom 24	1115	224	891
Bloom 25	505	85	420
Bloom 26	484	110	374
Bloom 27	626	83	543
Bloom 28	561	211	350
Bloom 29	310	6	304
Bloom 30	754	181	573
Bloom 31	581	243	338
Bloom 32	464	54	410
Bloom 33	517	63	454
Bloom 34	374	61	313
Bloom 35	324	46	278
Bloom 36	775	59	716
Bloom 37	357	28	329
Bloom 38	1354	134	1220
Bloom 39	511	52	459
Bloom 40	389	87	302
Bloom 41	725	69	656
Bloom 42	520	77	443
Bloom 43	554	42	512
Bloom 44	720	273	447
Bloom 45	870	140	730
Bloom 46	525	78	447
Bloom 47	745	307	438
Bloom 48	446	72	374
Bloom 49	598	22	576
Bloom 50	553	142	411
Bloom 51	326	28	298
Bloom 52	544	15	529
Bloom 53	358	82	276
Bloom 54	603	177	426
Bloom 55	527	51	476
Bloom 56	503	193	310
Bloom 57	590	180	410
Bloom 58	435	66	369
Bloom 59	464	104	360
Bloom 60	513	30	483
Bloom 61	559	216	343
Bremen 1	568	30	538
Bremen 2	630	327	303
Bremen 3	534	266	268
Bremen 4	577	261	316
Bremen 5	430	161	269
Bremen 6	445	160	285
Bremen 7	395	26	369
Bremen 8	484	24	460
Bremen 9	490	278	212
Bremen 10	721	386	335
Bremen 11	647	312	335
Bremen 12	488	43	445
Bremen 13	634	282	352
Bremen 14	487	141	346
Bremen 15	439	102	337
Bremen 16	578	344	234
Bremen 17	526	13	513
Bremen 18	878	419	459
Bremen 19	210	5	205
Bremen 20	441	244	197
Bremen 21	711	166	545
Bremen 22	482	265	217
Bremen 23	256	4	252
Bremen 24	485	302	183
Bremen 25	778	363	415
Bremen 26	518	93	425
Bremen 27	647	266	381
Bremen 28	448	193	255
Bremen 29	832	46	786
Bremen 30	627	355	272
Bremen 31	599	43	556
Bremen 32	532	38	494
Bremen 33	544	295	249
Bremen 34	793	493	300
Bremen 35	408	14	394
Bremen 36	417	251	166
Bremen 37	398	52	346
Bremen 38	530	8	522
Bremen 39	434	29	405
Bremen 40	869	95	774
Bremen 41	371	170	201
Bremen 42	770	394	376
Bremen 43	489	104	385
Bremen 44	456	29	427
Bremen 45	353	25	328
Bremen 46	567	329	238
Bremen 47	493	29	464
Bremen 48	503	42	461
Bremen 49	476	19	457
Bremen 50	653	366	287
Bremen 51	747	42	705
Bremen 52	512	234	278
Bremen 53	384	179	205
Bremen 54	466	257	209
Bremen 55	480	93	387
Bremen 56	654	35	619
Bremen 57	629	386	243
Bremen 58	737	393	344
Bremen 59	530	255	275
Bremen 60	482	238	244
Bremen 61	569	288	281
Bremen 62	634	259	375
Bremen 63	781	50	731
Bremen 64	665	342	323
Bremen 65	299	5	294
Bremen 66	441	17	424
Bremen 67	790	452	338
Bremen 68	387	243	144
Bremen 69	567	222	345
Bremen 70	404	28	376
Bremen 71	434	25	409
Bremen 72	380	206	174
Bremen 73	614	292	322
Bremen 74	689	276	413
Bremen 75	675	142	533
Bremen 76	475	258	217
Bremen 77	916	463	453
Bremen 78	528	27	501
Bremen 79	604	359	245
Bremen 80	533	18	515
Calumet 1	642	74	568
Calumet 2	613	127	486
Calumet 3	614	32	582
Calumet 4	628	23	605
Calumet 5	494	18	476
Calumet 6	846	108	738
Calumet 7	688	104	584
Calumet 8	447	54	393
Calumet 9	475	17	458
Calumet 10	660	17	643
Calumet 11	857	21	836
Calumet 12	456	14	442
Cicero 1	726	80	646
Cicero 2	332	29	303
Cicero 3	464	81	383
Cicero 4	566	90	476
Cicero 5	667	180	487
Cicero 6	568	146	422
Cicero 7	432	48	384
Cicero 8	314	45	269
Cicero 9	641	68	573
Cicero 10	700	116	584
Cicero 11	579	165	414
Cicero 12	455	116	339
Cicero 13	496	164	332
Cicero 14	496	107	389
Cicero 15	575	109	466
Cicero 16	455	75	380
Cicero 17	675	90	585
Cicero 18	400	73	327
Cicero 19	756	159	597
Cicero 20	428	72	356
Cicero 21	577	107	470
Cicero 22	452	73	379
Cicero 23	732	133	599
Cicero 24	670	106	564
Cicero 25	517	105	412
Cicero 26	406	79	327
Cicero 27	603	117	486
Cicero 28	614	82	532
Cicero 29	549	101	448
Cicero 30	492	62	430
Cicero 31	453	82	371
Cicero 32	454	73	381
Elk Grove 1	533	239	294
Elk Grove 2	521	188	333
Elk Grove 3	723	336	387
Elk Grove 4	673	278	395
Elk Grove 5	885	442	443
Elk Grove 6	467	208	259
Elk Grove 7	692	343	349
Elk Grove 8	570	307	263
Elk Grove 9	609	327	282
Elk Grove 10	892	478	414
Elk Grove 11	710	394	316
Elk Grove 12	418	271	147
Elk Grove 13	607	257	350
Elk Grove 14	716	363	353
Elk Grove 15	519	263	256
Elk Grove 16	704	379	325
Elk Grove 17	597	250	347
Elk Grove 18	836	400	436
Elk Grove 19	789	430	359
Elk Grove 20	688	340	348
Elk Grove 21	544	229	315
Elk Grove 22	631	239	392
Elk Grove 23	958	480	478
Elk Grove 24	578	276	302
Elk Grove 25	575	321	254
Elk Grove 26	521	266	255
Elk Grove 27	776	461	315
Elk Grove 28	624	255	369
Elk Grove 29	608	325	283
Elk Grove 30	578	310	268
Elk Grove 31	406	131	275
Elk Grove 32	446	178	268
Elk Grove 33	404	213	191
Elk Grove 34	1049	524	525
Elk Grove 35	573	264	309
Elk Grove 36	429	115	314
Elk Grove 37	785	376	409
Elk Grove 38	456	106	350
Elk Grove 39	854	341	513
Elk Grove 40	609	247	362
Elk Grove 41	488	272	216
Elk Grove 42	579	176	403
Elk Grove 43	540	276	264
Elk Grove 44	535	308	227
Elk Grove 45	564	309	255
Elk Grove 46	486	315	171
Elk Grove 47	761	411	350
Elk Grove 48	424	247	177
Elk Grove 49	779	326	453
Elk Grove 50	373	137	236
Elk Grove 51	875	480	395
Elk Grove 52	307	99	208
Evanston Ward 1 Precinct 1	628	68	560
Evanston Ward 1 Precinct 2	741	147	594
Evanston Ward 1 Precinct 3	710	154	556
Evanston Ward 1 Precinct 4	1031	214	817
Evanston Ward 2 Precinct 1	1296	236	1060
Evanston Ward 2 Precinct 2	534	49	485
Evanston Ward 2 Precinct 3	721	31	690
Evanston Ward 2 Precinct 4	891	50	841
Evanston Ward 2 Precinct 5	613	45	568
Evanston Ward 3 Precinct 1	768	157	611
Evanston Ward 3 Precinct 2	891	171	720
Evanston Ward 3 Precinct 3	802	124	678
Evanston Ward 3 Precinct 4	426	67	359
Evanston Ward 3 Precinct 5	771	150	621
Evanston Ward 3 Precinct 6	734	110	624
Evanston Ward 3 Precinct 7	635	102	533
Evanston Ward 4 Precinct 1	420	49	371
Evanston Ward 4 Precinct 2	681	80	601
Evanston Ward 4 Precinct 3	510	101	409
Evanston Ward 4 Precinct 4	1049	168	881
Evanston Ward 4 Precinct 5	403	62	341
Evanston Ward 4 Precinct 6	967	158	809
Evanston Ward 5 Precinct 1	684	20	664
Evanston Ward 5 Precinct 2	971	160	811
Evanston Ward 5 Precinct 3	711	44	667
Evanston Ward 5 Precinct 4	438	19	419
Evanston Ward 6 Precinct 1	1093	270	823
Evanston Ward 6 Precinct 2	547	114	433
Evanston Ward 6 Precinct 3	615	139	476
Evanston Ward 6 Precinct 4	764	143	621
Evanston Ward 6 Precinct 5	947	214	733
Evanston Ward 6 Precinct 6	578	197	381
Evanston Ward 6 Precinct 7	901	184	717
Evanston Ward 7 Precinct 1	1082	210	872
Evanston Ward 7 Precinct 2	1137	237	900
Evanston Ward 7 Precinct 3	427	86	341
Evanston Ward 7 Precinct 4	519	66	453
Evanston Ward 7 Precinct 5	973	203	770
Evanston Ward 7 Precinct 6	144	10	134
Evanston Ward 8 Precinct 1	854	89	765
Evanston Ward 8 Precinct 2	670	64	606
Evanston Ward 8 Precinct 3	606	68	538
Evanston Ward 8 Precinct 4	735	106	629
Evanston Ward 8 Precinct 5	929	103	826
Evanston Ward 9 Precinct 1	584	77	507
Evanston Ward 9 Precinct 2	634	61	573
Evanston Ward 9 Precinct 3	980	156	824
Evanston Ward 9 Precinct 4	813	104	709
Evanston Ward 9 Precinct 5	506	61	445
Evanston Ward 9 Precinct 6	703	93	610
Hanover 1	969	410	559
Hanover 2	743	340	403
Hanover 3	324	97	227
Hanover 4	712	298	414
Hanover 5	689	297	392
Hanover 6	594	220	374
Hanover 7	702	277	425
Hanover 8	616	268	348
Hanover 9	678	343	335
Hanover 10	390	145	245
Hanover 11	660	199	461
Hanover 12	511	151	360
Hanover 13	476	181	295
Hanover 14	800	358	442
Hanover 15	547	160	387
Hanover 16	879	426	453
Hanover 17	529	218	311
Hanover 18	629	209	420
Hanover 19	573	313	260
Hanover 20	1054	480	574
Hanover 21	448	231	217
Hanover 22	626	255	371
Hanover 23	681	316	365
Hanover 24	677	186	491
Hanover 25	573	269	304
Hanover 26	917	426	491
Hanover 27	1878	877	1001
Hanover 28	890	394	496
Hanover 29	445	114	331
Hanover 30	716	281	435
Hanover 31	541	322	219
Hanover 32	503	152	351
Hanover 33	672	258	414
Hanover 34	825	300	525
Hanover 35	696	209	487
Hanover 36	498	190	308
Hanover 37	942	370	572
Hanover 38	751	341	410
Hanover 39	778	288	490
Hanover 40	763	322	441
Hanover 41	967	400	567
Hanover 42	672	338	334
Hanover 43	723	292	431
Hanover 44	856	428	428
Lemont 1	726	518	208
Lemont 2	513	348	165
Lemont 3	769	547	222
Lemont 4	693	455	238
Lemont 5	664	373	291
Lemont 6	733	459	274
Lemont 7	545	327	218
Lemont 8	768	448	320
Lemont 9	487	376	111
Lemont 10	493	274	219
Lemont 11	944	641	303
Lemont 12	1140	783	357
Lemont 13	931	663	268
Lemont 14	670	494	176
Leyden 1	448	170	278
Leyden 2	358	137	221
Leyden 3	750	340	410
Leyden 4	567	182	385
Leyden 5	584	230	354
Leyden 6	751	280	471
Leyden 7	335	117	218
Leyden 8	702	306	396
Leyden 9	817	461	356
Leyden 10	768	309	459
Leyden 11	652	289	363
Leyden 12	725	586	139
Leyden 13	656	261	395
Leyden 14	503	225	278
Leyden 15	665	263	402
Leyden 16	699	276	423
Leyden 17	539	229	310
Leyden 18	401	161	240
Leyden 19	622	261	361
Leyden 20	337	173	164
Leyden 21	441	82	359
Leyden 22	479	297	182
Leyden 23	1035	580	455
Leyden 24	730	229	501
Leyden 25	423	181	242
Leyden 26	948	475	473
Leyden 27	160	70	90
Leyden 28	320	97	223
Leyden 29	417	107	310
Leyden 30	734	368	366
Leyden 31	673	222	451
Leyden 32	698	263	435
Leyden 33	672	254	418
Leyden 34	480	187	293
Leyden 35	297	104	193
Leyden 36	605	242	363
Leyden 37	447	184	263
Leyden 38	247	146	101
Leyden 39	422	179	243
Leyden 40	598	212	386
Leyden 41	340	95	245
Leyden 42	633	350	283
Leyden 43	461	173	288
Leyden 44	565	245	320
Leyden 45	526	236	290
Leyden 46	526	198	328
Leyden 47	598	245	353
Leyden 48	712	252	460
Leyden 49	889	426	463
Leyden 50	767	329	438
Lyons 1	74	29	45
Lyons 2	519	216	303
Lyons 3	563	220	343
Lyons 4	918	364	554
Lyons 5	664	296	368
Lyons 6	419	186	233
Lyons 7	566	120	446
Lyons 8	348	146	202
Lyons 9	733	295	438
Lyons 10	539	228	311
Lyons 11	462	207	255
Lyons 12	442	306	136
Lyons 13	272	11	261
Lyons 14	778	427	351
Lyons 15	706	352	354
Lyons 16	1048	472	576
Lyons 17	418	262	156
Lyons 18	558	292	266
Lyons 19	652	210	442
Lyons 20	1004	533	471
Lyons 21	1017	566	451
Lyons 22	417	133	284
Lyons 23	741	419	322
Lyons 24	546	311	235
Lyons 25	610	310	300
Lyons 26	417	247	170
Lyons 27	583	423	160
Lyons 28	756	462	294
Lyons 29	560	288	272
Lyons 30	116	53	63
Lyons 31	634	384	250
Lyons 32	261	147	114
Lyons 33	236	128	108
Lyons 34	304	143	161
Lyons 35	601	337	264
Lyons 36	645	438	207
Lyons 37	448	164	284
Lyons 38	281	121	160
Lyons 39	643	354	289
Lyons 40	520	286	234
Lyons 41	440	290	150
Lyons 42	606	383	223
Lyons 43	540	297	243
Lyons 44	997	640	357
Lyons 45	875	364	511
Lyons 46	524	290	234
Lyons 47	621	332	289
Lyons 48	603	239	364
Lyons 49	415	244	171
Lyons 50	704	336	368
Lyons 51	513	235	278
Lyons 52	676	343	333
Lyons 53	639	373	266
Lyons 54	336	171	165
Lyons 55	695	446	249
Lyons 56	870	251	619
Lyons 57	670	135	535
Lyons 58	513	237	276
Lyons 59	554	204	350
Lyons 60	950	122	828
Lyons 61	634	376	258
Lyons 62	315	224	91
Lyons 63	920	586	334
Lyons 64	584	222	362
Lyons 65	777	355	422
Lyons 66	404	147	257
Lyons 67	678	256	422
Lyons 68	468	200	268
Lyons 69	821	478	343
Lyons 70	568	20	548
Lyons 71	328	110	218
Lyons 72	788	429	359
Lyons 73	593	315	278
Lyons 74	344	147	197
Lyons 75	448	190	258
Lyons 76	468	215	253
Lyons 77	505	242	263
Lyons 78	435	258	177
Maine 1	512	200	312
Maine 2	540	186	354
Maine 3	344	155	189
Maine 4	610	305	305
Maine 5	882	307	575
Maine 6	909	374	535
Maine 7	465	186	279
Maine 8	715	366	349
Maine 9	974	377	597
Maine 10	464	200	264
Maine 11	432	225	207
Maine 12	424	200	224
Maine 13	618	298	320
Maine 14	778	353	425
Maine 15	364	133	231
Maine 16	450	197	253
Maine 17	626	265	361
Maine 18	530	230	300
Maine 19	399	209	190
Maine 20	352	183	169
Maine 21	815	446	369
Maine 22	790	431	359
Maine 23	650	277	373
Maine 24	827	419	408
Maine 25	688	352	336
Maine 26	525	234	291
Maine 27	427	212	215
Maine 28	375	103	272
Maine 29	930	552	378
Maine 30	1412	813	599
Maine 31	636	289	347
Maine 32	388	227	161
Maine 33	529	114	415
Maine 34	765	307	458
Maine 35	528	178	350
Maine 36	603	342	261
Maine 37	656	413	243
Maine 38	507	232	275
Maine 39	672	338	334
Maine 40	636	296	340
Maine 41	521	229	292
Maine 42	888	503	385
Maine 43	516	351	165
Maine 44	424	207	217
Maine 45	297	91	206
Maine 46	674	356	318
Maine 47	660	257	403
Maine 48	723	320	403
Maine 49	615	253	362
Maine 50	559	325	234
Maine 51	641	247	394
Maine 52	547	249	298
Maine 53	568	216	352
Maine 54	628	346	282
Maine 55	538	293	245
Maine 56	802	328	474
Maine 57	492	149	343
Maine 58	743	404	339
Maine 59	616	350	266
Maine 60	1105	680	425
Maine 61	361	165	196
Maine 62	354	124	230
Maine 63	464	205	259
Maine 64	474	234	240
Maine 65	465	273	192
Maine 66	337	207	130
Maine 67	922	590	332
Maine 68	439	182	257
Maine 69	659	315	344
Maine 70	729	231	498
Maine 71	322	144	178
Maine 72	503	269	234
Maine 73	254	130	124
Maine 74	502	240	262
Maine 75	565	302	263
Maine 76	340	177	163
Maine 77	930	449	481
Maine 78	568	163	405
Maine 79	627	165	462
Maine 80	539	288	251
Maine 81	468	191	277
Maine 82	545	275	270
Maine 83	432	242	190
Maine 84	386	162	224
Maine 85	343	181	162
Maine 86	523	149	374
Maine 87	395	215	180
Maine 88	425	290	135
Maine 89	480	193	287
Maine 90	371	206	165
Maine 91	871	420	451
Maine 92	526	235	291
New Trier 1	1046	433	613
New Trier 2	1111	387	724
New Trier 3	711	250	461
New Trier 4	902	341	561
New Trier 5	591	202	389
New Trier 6	535	216	319
New Trier 7	709	336	373
New Trier 8	598	321	277
New Trier 9	791	446	345
New Trier 10	705	387	318
New Trier 11	920	551	369
New Trier 12	829	460	369
New Trier 13	954	424	530
New Trier 14	852	487	365
New Trier 15	975	519	456
New Trier 16	1026	608	418
New Trier 17	691	244	447
New Trier 18	556	304	252
New Trier 19	567	388	179
New Trier 20	1004	481	523
New Trier 21	786	273	513
New Trier 22	724	468	256
New Trier 23	784	545	239
New Trier 24	864	272	592
New Trier 25	632	326	306
New Trier 26	551	184	367
New Trier 27	700	262	438
New Trier 28	618	274	344
New Trier 29	672	326	346
New Trier 30	930	480	450
New Trier 31	744	258	486
New Trier 32	643	263	380
New Trier 33	832	292	540
New Trier 34	576	235	341
